Papel	Segmento	Cotação	FFO Yield	Dividend Yield	P/VP	Valor de Mercado	Liquidez	Qtd de imóveis	Preço do m2	Aluguel por m2	Cap Rate	Vacância Média
IBCR11	Títulos e Val. Mob.	96,50	5,08%	7,66%	0,98	77.481.900	306.583	0	0,00	0,00	0,00%	0,00%
IBFF11	Títulos e Val. Mob.	59,78	6,83%	9,32%	0,78	39.854.200	76.685	0	0,00	0,00	0,00%	0,00%
IDFI11	Híbrido	100,70	0,02%	9,36%	0,99	207.233.000	7.908	30	0,00	0,00	0,00%	0,00%
IFID11	Títulos e Val. Mob.	80,06	4,57%	10,26%	0,90	59.897.000	44.886	0	0,00	0,00	0,00%	0,00%
IFIE11	Títulos e Val. Mob.	71,98	7,14%	6,07%	0,86	64.817.600	21.287	0	0,00	0,00	0,00%	0,00%
IRDM11	Títulos e Val. Mob.	109,92	4,28%	12,52%	1,12	3.632.260.000	9.131.350	0	0,00	0,00	0,00%	0,00%
IRIM11	Híbrido	112,77	2,77%	4,82%	1,11	146.601.000	29.368	0	0,00	0,00	0,00%	0,00%
ITIP11	Títulos e Val. Mob.	80,71	4,53%	1,24%	0,90	60.383.300	24.998	0	0,00	0,00	0,00%	0,00%
ITIT11	Títulos e Val. Mob.	72,00	7,13%	0,73%	0,87	64.835.600	10.687	0	0,00	0,00	0,00%	0,00%
JBFO11	Títulos e Val. Mob.	89,10	4,27%	4,31%	1,00	113.965.000	7.038	0	0,00	0,00	0,00%	0,00%
JFLL11	Residencial	78,00	8,27%	9,54%	0,78	117.047.000	151.742	2	7.971,13	686,28	8,61%	39,05%
JPPA11		97,10	9,37%	13,05%	0,93	58.644.900	48.065	0	0,00	0,00	0,00%	0,00%
JRDM11	Shoppings	68,72	3,51%	4,44%	0,79	173.378.000	210.281	1	6.077,33	369,41	6,08%	2,82%
JSRE11	Híbrido	77,36	8,51%	8,17%	0,68	1.606.560.000	1.825.710	6	13.496,40	1.159,78	8,59%	14,77%
KEVE11	Residencial	1.000,00	-1,58%	1,77%	1,01	147.701.000	5.447	0	0,00	0,00	0,00%	0,00%
KFOF11	Títulos e Val. Mob.	76,97	6,89%	9,17%	0,80	348.929.000	537.157	0	0,00	0,00	0,00%	0,00%
KINP11	Residencial	15,00	-1,07%	21,28%	2,05	107.219.000	5.296	1	0,00	0,00	0,00%	0,00%
KISU11	Títulos e Val. Mob.	7,94	3,23%	9,54%	0,85	350.917.000	933.563	0	0,00	0,00	0,00%	0,00%
KNCR11	Títulos e Val. Mob.	100,00	4,36%	5,94%	0,99	3.909.710.000	8.434.430	0	0,00	0,00	0,00%	0,00%
KNHY11	Títulos e Val. Mob.	103,09	4,50%	14,41%	1,04	1.473.240.000	3.274.130	0	0,00	0,00	0,00%	0,00%
KNIP11	Títulos e Val. Mob.	102,75	4,11%	14,14%	1,04	7.309.100.000	12.865.000	0	0,00	0,00	0,00%	0,00%
KNRE11	Residencial	0,90	3,62%	109,30%	0,48	16.692.400	11.911	1	0,00	0,00	0,00%	0,00%
KNRI11	Híbrido	133,94	6,42%	6,59%	0,85	3.235.600.000	4.216.080	19	4.461,44	356,20	7,98%	0,16%
KNSC11	Títulos e Val. Mob.	96,50	2,41%	15,33%	1,07	765.875.000	3.891.900	0	0,00	0,00	0,00%	0,00%
LASC11	Shoppings	89,00	4,10%	6,65%	0,79	224.119.000	317.669	2	3.267,85	0,00	0,00%	2,68%
LATR11B	Residencial	150,00	-1,44%	10,95%	13,09	18.615.600	56	0	0,00	0,00	0,00%	0,00%
LFTT11	Residencial	109,93	-2,94%	7,53%	1,85	783.201.000	115.392	402	14.805,90	5,05	0,03%	0,00%
LGCP11	Logística	81,65	10,36%	8,08%	0,80	223.138.000	109.548	5	2.746,94	297,75	10,84%	0,00%
LUGG11	Residencial	87,70	10,61%	7,00%	0,70	78.930.000	19.207	4	3.565,89	536,11	15,03%	2,71%
LVBI11	Logística	99,87	6,64%	7,35%	0,87	1.175.990.000	2.562.420	9	3.031,61	227,57	7,51%	0,00%
MALL11	Shoppings	97,61	9,21%	7,28%	0,89	737.966.000	1.359.130	5	4.345,91	427,33	9,83%	5,36%
MATV11	Títulos e Val. Mob.	99,00	0,64%	3,49%	1,00	34.380.700	27.253	0	0,00	0,00	0,00%	0,00%
MAXR11	Híbrido	85,48	8,82%	9,43%	0,71	96.221.000	113.329	11	1.581,77	152,99	9,67%	2,75%
MBRF11	Outros	690,00	13,05%	13,26%	0,62	70.148.200	63.504	2	3.897,54	584,65	15,00%	0,00%
MCCI11	Títulos e Val. Mob.	100,47	6,82%	10,53%	1,03	1.247.560.000	4.540.660	0	0,00	0,00	0,00%	0,00%
MCHF11	Títulos e Val. Mob.	10,05	3,35%	6,30%	0,92	83.491.800	278.479	0	0,00	0,00	0,00%	0,00%
MCHY11	Títulos e Val. Mob.	119,98	4,71%	5,20%	1,17	424.377.000	23.008	0	0,00	0,00	0,00%	0,00%
MFAI11	Híbrido	76,29	3,20%	11,91%	0,93	23.129.100	33.095	0	0,00	0,00	0,00%	0,00%
MFII11	Híbrido	107,14	7,40%	12,17%	1,06	444.299.000	455.664	5	98,70	0,00	0,00%	0,00%
MGCR11	Títulos e Val. Mob.	86,73	5,58%	11,48%	0,90	123.356.000	108.539	0	0,00	0,00	0,00%	0,00%
MGFF11	Títulos e Val. Mob.	62,15	5,77%	10,63%	0,79	562.496.000	942.702	0	0,00	0,00	0,00%	0,00%
MGHT11	Híbrido	87,20	5,17%	9,43%	0,87	114.562.000	23.784	1	9.495,10	398,33	4,20%	0,00%
MGIM11	Híbrido	100,01	-3,06%	11,29%	1,02	24.732.500	393	0	0,00	0,00	0,00%	0,00%
MGLG11	Logística	52,28	3,74%	5,01%	0,54	60.368.200	168.232	5	727,25	30,33	4,17%	0,00%
MORC11	Títulos e Val. Mob.	99,60	2,06%	2,48%	0,98	77.682.000	327.685	0	0,00	0,00	0,00%	0,00%
MORE11	Títulos e Val. Mob.	76,14	3,71%	9,89%	0,84	176.577.000	568.151	0	0,00	0,00	0,00%	0,00%
MXRF11	Híbrido	9,40	6,93%	10,12%	0,92	2.124.770.000	8.375.390	2	10.700,20	0,00	0,00%	100,00%
NAVT11	Títulos e Val. Mob.	76,44	4,21%	7,01%	0,83	80.606.500	130.840	0	0,00	0,00	0,00%	0,00%
NEWL11	Híbrido	102,88	8,92%	12,10%	0,89	209.165.000	378.956	1	7.792,90	549,62	7,05%	0,00%
NEWU11	Híbrido	32,88	-6,58%	0,00%	0,53	24.397.000	3.123	3	1.794,23	255,32	14,23%	42,33%
NPAR11	Outros	12,60	216,23%	233,10%	0,68	1.506.830	3.659	0	0,00	0,00	0,00%	0,00%
NSLU11	Hospital	210,55	10,65%	10,56%	0,97	241.038.000	178.551	1	10.121,60	1.139,12	11,25%	0,00%
NVHO11	Hospital	11,69	11,05%	6,99%	0,92	485.071.000	2.462	4	15.847,70	1.795,29	11,33%	0,00%
ONEF11	Lajes Corporativas	145,96	5,35%	5,72%	0,84	132.970.000	49.298	1	21.764,10	1.364,93	6,27%	0,00%
ORPD11	Títulos e Val. Mob.	128,79	0,00%	0,00%	0,84	37.349.100	18	0	0,00	0,00	0,00%	0,00%
OUFF11	Títulos e Val. Mob.	66,65	11,13%	11,60%	0,82	120.925.000	147.126	0	0,00	0,00	0,00%	0,00%
OUJP11	Híbrido	89,16	9,02%	11,06%	0,88	289.983.000	481.991	0	0,00	0,00	0,00%	0,00%
OULG11	Logística	49,45	21,39%	12,04%	0,67	122.699.000	142.493	2	1.256,80	320,79	25,52%	48,23%
OURE11	Híbrido	86,50	10,26%	11,99%	0,93	93.168.000	184.998	4	3.929,73	500,50	12,74%	0,00%
PATC11	Lajes Corporativas	65,70	6,10%	5,95%	0,76	228.467.000	349.368	7	14.944,40	978,41	6,55%	21,88%
PATL11		74,00	8,97%	9,99%	0,75	369.374.000	1.115.260	4	2.364,19	228,22	9,65%	6,51%
PEMA11	Títulos e Val. Mob.	62,00	9,03%	27,42%	0,72	34.224.000	8.687	0	0,00	0,00	0,00%	0,00%
PLCR11	Híbrido	88,10	11,19%	12,30%	0,95	185.818.000	421.940	0	0,00	0,00	0,00%	0,00%
PLOG11	Residencial	74,07	5,91%	9,62%	0,75	55.552.500	58.041	1	754,22	49,90	6,62%	0,00%
PLRI11	Títulos e Val. Mob.	38,45	-2,07%	45,55%	0,89	36.693.000	6.983	0	0,00	0,00	0,00%	0,00%
PORD11	Títulos e Val. Mob.	92,69	7,84%	12,32%	0,93	345.583.000	689.167	0	0,00	0,00	0,00%	0,00%
PQAG11	Logística	56,99	7,67%	8,46%	1,00	797.398.000	25.190	1	12.682,50	979,90	7,73%	0,00%
