Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBIT	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
RDOR3	45,72	63,50	6,43	4,734	2,90%	1,800	5,39	23,45	-6,48	26,96	21,05	20,19%	8,04%	4,36	10,66%	10,13%	153.771.000,00	14.285.100.000,00	1,89	46,09%
MERC4	10,45	66,95	0,76	0,000	4,95%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	1,13%	121,30	247.902.000,00	0,00	-36,09%
AERI3	6,08	69,83	4,58	1,760	0,00%	1,568	3,41	26,49	-277,91	29,53	24,92	6,64%	2,52%	3,40	10,32%	6,56%	14.009.600,00	1.016.960.000,00	1,42	0,00%
ANIM3	8,07	92,72	1,26	1,485	0,00%	0,316	8,58	10,45	-0,53	24,53	12,17	14,21%	1,75%	1,31	3,31%	1,36%	21.568.300,00	2.577.160.000,00	2,00	19,40%
PETZ3	17,67	112,44	13,85	4,164	0,22%	4,000	113,48	45,45	-10,87	46,20	23,33	9,16%	3,70%	1,11	11,07%	12,32%	106.313.000,00	585.296.000,00	0,51	0,00%
HAPV3	12,43	124,23	4,56	5,061	0,30%	2,779	109,09	92,58	-15,74	91,67	33,19	5,47%	4,13%	1,14	3,56%	3,67%	286.712.000,00	10.615.600.000,00	0,19	37,43%
SQIA3	19,12	144,31	2,10	5,474	0,08%	1,349	2,96	56,55	7,45	43,84	19,01	9,68%	4,28%	6,56	4,77%	1,46%	17.931.100,00	798.855.000,00	0,30	24,57%
CBEE3	23,01	145,15	1,06	0,499	0,00%	0,244	-1.028,54	33,10	-0,42	75,95	14,24	1,51%	0,34%	1,00	0,85%	0,73%	9.705,86	3.625.470.000,00	1,51	9,15%
BIDI3	7,76	374,24	2,34	0,000	0,19%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,63%	11.965.600,00	8.536.610.000,00	0,00	46,66%
BIDI11	23,37	375,68	2,35	0,000	0,19%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,63%	418.953.000,00	8.536.610.000,00	0,00	46,66%
BIDI4	7,79	375,68	2,35	0,000	0,19%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,63%	105.105.000,00	8.536.610.000,00	0,00	46,66%
AMER3	32,15	409,02	1,82	1,685	0,00%	0,658	2,81	44,73	-9,34	50,47	19,99	3,77%	0,41%	1,70	2,49%	0,45%	235.160.000,00	15.663.400.000,00	0,85	19,85%
VIIA3	4,22	674,54	1,19	0,209	0,00%	0,192	-8,75	6,49	-0,63	14,61	7,64	3,22%	0,03%	0,96	3,90%	0,18%	196.399.000,00	5.675.000.000,00	1,76	5,35%
SEQL3	14,98	1.145,94	3,47	1,478	0,00%	1,084	19,75	118,41	-2,90	144,98	18,25	1,25%	0,13%	1,21	1,09%	0,30%	31.566.700,00	602.733.000,00	1,13	0,00%
LWSA3	9,73	13.609,20	1,95	8,270	0,00%	1,367	3,40	182,28	5,56	128,46	37,15	4,54%	0,06%	3,82	1,33%	0,01%	130.872.000,00	2.950.560.000,00	0,04	53,23%
